id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
934042,,28824,,26854623,1,f,f,2013-01-28 22:33:41,2013-01-28 22:39:48
934091,2365097,28824,26854771,26854756,2,f,t,2013-01-28 22:50:13,2013-02-01 04:40:00
1661792,2381733,28824,27762936,26926456,3,f,f,2013-01-31 13:46:22,2013-02-01 08:30:54
947148,2377672,28824,26917535,26917515,4,f,t,2013-02-01 10:10:44,2013-02-07 21:06:55
949555,2381733,28824,26926453,26917515,5,f,t,2013-02-01 22:54:03,2013-02-06 15:34:51
1662230,28824,28824,47491778,26917515,6,t,f,2013-02-01 23:47:04,2013-02-06 00:55:06
1138631,28824,28824,29506296,29506292,7,t,t,2013-02-01 23:47:29,2013-02-07 18:34:06
976317,28824,28824,29072239,26917515,8,t,t,2013-02-01 23:47:42,2013-02-06 15:34:22
1138934,2600374,28824,29509903,26917515,9,f,f,2013-02-04 18:54:59,2013-02-07 20:58:23
1145594,28824,28824,29585808,29585803,10,t,t,2013-02-12 00:23:10,2013-02-12 21:12:36
1157587,2658346,28824,29746305,29746303,11,f,f,2013-02-15 15:19:31,2013-02-15 21:38:00
1158715,2365097,28824,29790924,29746303,12,f,t,2013-02-15 20:00:26,2013-02-15 21:17:26
1168948,2720665,28824,31710191,31710188,13,f,t,2013-02-19 04:16:40,2013-02-20 02:29:03
1179805,2741767,28824,31756912,31756910,14,f,t,2013-02-21 16:52:16,2013-02-21 16:53:59
1191104,2819628,28824,33047971,33047968,15,f,f,2013-02-25 11:01:30,2013-02-25 17:01:38
1194402,28824,28824,33407049,33047968,16,t,t,2013-02-26 01:15:41,2013-02-27 21:31:45
1195757,2848337,28824,33673627,33047968,17,f,f,2013-02-26 10:05:18,2013-03-11 06:37:32
1202827,2600374,28824,34561267,34561234,18,f,f,2013-02-27 19:41:10,2013-02-27 22:11:41
1203495,28824,28824,34621839,34621820,19,t,t,2013-02-27 22:11:34,2013-03-07 00:49:26
1203941,28824,28824,34680821,34621820,20,t,f,2013-02-28 00:26:02,2013-02-28 04:38:37
1206037,2910364,28824,34778106,34621820,21,f,f,2013-02-28 14:00:01,2013-03-13 18:09:29
1222177,2974360,28824,35403022,35364857,22,f,f,2013-03-04 22:10:23,2013-03-11 20:27:41
1230377,28824,28824,35658859,35644700,23,t,f,2013-03-07 23:15:15,2013-03-08 21:35:46
1235037,2658346,28824,35820754,35784975,24,f,t,2013-03-08 22:22:40,2013-03-09 07:24:07
1241524,2848337,28824,36104445,35907145,25,f,f,2013-03-11 06:49:09,2013-03-13 07:34:57
1242069,3045541,28824,36125068,35907145,26,f,t,2013-03-11 10:02:34,2013-03-12 16:07:53
1242110,3045541,28824,36126686,35907145,27,f,t,2013-03-11 10:18:55,2013-03-12 16:06:35
1242160,3045541,28824,36128134,35907145,28,f,f,2013-03-11 10:33:38,2013-03-12 15:28:49
1243624,3050410,28824,36177623,35907145,29,f,t,2013-03-11 16:39:49,2013-03-12 16:04:35
1244804,28824,28824,36219826,36180588,30,t,t,2013-03-11 21:13:05,2013-03-12 15:38:16
1249933,3071226,28824,36389458,36383444,31,f,f,2013-03-12 20:56:03,2013-03-13 23:16:12
1251566,2848337,28824,36453453,36399720,32,f,t,2013-03-13 07:43:34,2013-03-14 20:27:18
1263174,28824,28824,36539558,36539553,33,t,t,2013-03-15 17:24:43,2013-03-18 20:10:12
1260557,28824,28824,36522749,36522747,34,t,t,2013-03-19 20:48:09,2013-03-20 17:54:41
1283385,2819628,28824,36669081,36669075,35,f,t,2013-03-21 01:19:00,2013-03-28 14:59:10
1334400,28824,28824,37793019,37793016,37,t,t,2013-04-04 17:12:04,2013-04-04 18:29:32
1318622,3270732,28824,37682824,37682820,38,f,f,2013-04-16 18:22:14,2013-05-01 22:42:44
1410534,3270732,28824,38671718,38671716,40,f,f,2013-04-23 17:18:49,2013-04-29 21:20:15
1422018,3270732,28824,39055736,38999811,41,f,f,2013-04-25 19:47:26,2013-05-01 22:42:26
1410977,3270732,28824,38688462,38688460,42,f,f,2013-04-29 21:19:43,2013-05-01 22:42:07
1415673,3071226,28824,38856150,38845038,43,f,f,2013-04-30 17:57:32,2013-07-30 21:22:09
1422014,3270732,28824,39055257,39055221,44,f,t,2013-05-01 22:41:32,2013-05-16 17:34:28
1422173,3528703,28824,39081415,39077808,45,f,t,2013-05-01 23:46:05,2013-06-03 17:20:00
1492701,3270732,28824,42004998,42020732,46,f,t,2013-05-17 15:43:02,2013-05-17 19:13:21
1537091,3270732,28824,43593500,42048139,47,f,f,2013-05-29 22:24:26,2013-08-07 18:26:37
1543027,3731504,28824,43712101,43784669,49,f,t,2013-05-31 02:40:39,2013-06-04 19:12:33
1561764,3270732,28824,43955191,43864647,50,f,t,2013-05-31 19:11:43,2013-06-21 17:12:06
1583313,28824,28824,45208916,45204961,51,t,t,2013-06-11 22:51:19,2013-06-12 22:02:55
1597835,28824,28824,45668015,45374618,52,t,f,2013-06-14 16:10:26,2013-06-14 16:37:39
1625315,4175357,28824,46571572,46401695,54,f,t,2013-06-20 16:06:03,2013-06-20 22:12:44
1653218,28824,28824,47416530,47416525,55,t,t,2013-06-26 16:39:49,2013-06-27 14:41:39
1663303,2974360,28824,47497307,47497305,56,f,f,2013-06-28 01:07:36,2013-07-10 21:10:13
1697611,28824,28824,48035860,48035855,58,t,t,2013-07-04 20:13:27,2013-07-05 19:35:00
1763369,28824,28824,48558284,48558280,59,t,t,2013-07-12 04:33:53,2013-07-16 15:53:42
1764984,28824,28824,48585417,48558280,60,t,t,2013-07-12 15:36:17,2013-07-18 16:49:14
1775838,28824,28824,49034861,49034836,61,t,t,2013-07-12 19:42:47,2013-07-15 21:53:03
1773358,28824,28824,48875241,48875212,62,t,t,2013-07-15 12:25:28,2013-07-30 21:18:31
1780521,2974360,28824,49505034,49505008,63,f,f,2013-07-16 16:20:44,2013-07-31 14:42:04
1783511,4534754,28824,49862221,49862216,64,f,t,2013-07-17 06:00:52,2013-07-18 18:22:11
1808068,4175357,28824,50826783,50826757,65,f,t,2013-07-22 14:55:28,2013-07-30 21:03:39
1817287,3270732,28824,51390825,51390823,67,f,t,2013-07-23 18:44:26,2013-07-30 20:31:10
1883978,4801335,28824,53053252,53053250,68,f,f,2013-08-02 20:02:09,2013-08-06 19:45:38
1905569,3270732,28824,53195995,53195992,69,f,f,2013-08-07 18:24:16,2013-08-08 18:34:14
1903175,4801335,28824,53180924,53180922,70,f,f,2013-08-08 17:59:07,2013-08-08 22:12:09
1904926,3270732,28824,53192019,53192017,71,f,f,2013-08-09 18:16:51,2013-09-06 14:54:46
1917284,4175357,28824,53271194,53192017,72,f,t,2013-08-10 05:22:20,2013-08-13 22:02:18
1917325,4175357,28824,53271452,53192017,73,f,f,2013-08-10 05:51:50,2013-09-16 15:30:44
1938416,4801335,28824,53599248,53599234,76,f,t,2013-08-15 18:24:44,2013-08-15 19:18:42
1942474,4801335,28824,54145093,54145092,77,f,t,2013-08-15 21:08:07,2013-08-20 22:40:30
1960366,28824,28824,56102312,56092108,80,t,t,2013-08-20 21:08:24,2013-08-23 15:28:33
1972827,4801335,28824,56446095,56446087,82,f,f,2013-08-22 20:18:51,2013-09-10 18:49:45
1999145,28824,28824,57364874,57268750,84,t,t,2013-08-28 14:26:42,2013-09-03 19:44:50
2029195,5215494,28824,57588032,57587958,85,f,f,2013-09-02 11:15:41,2013-10-16 11:42:29
2066168,5239294,28824,57687863,57687848,86,f,t,2013-09-06 17:50:53,2013-09-10 20:50:12
2080010,5239294,28824,57893286,57830868,87,f,f,2013-09-09 16:39:26,2013-09-10 17:14:46
2112113,5239294,28824,58232013,58232011,88,f,t,2013-09-15 15:45:47,2013-09-17 19:27:05
2129763,28824,28824,58339547,58339535,90,t,f,2013-09-20 13:17:41,2013-09-20 19:30:28
2131581,5239294,28824,58244485,58244487,91,f,f,2013-09-20 18:22:32,2013-10-15 14:59:18
2132040,28824,28824,58353911,58353872,92,t,t,2013-09-20 19:53:20,2013-09-23 17:31:37
2132138,5239294,28824,58354590,58354583,93,f,f,2013-09-20 20:20:31,2013-09-23 20:20:46
2142230,28824,28824,58353909,58419711,94,t,t,2013-09-23 14:04:49,2013-09-23 15:58:16
2166314,5482715,28824,58564760,58564758,95,f,f,2013-09-27 11:46:46,2014-03-04 23:34:04
2180853,3731504,28824,58652281,58633870,97,f,f,2013-09-30 14:34:11,2013-10-18 12:43:12
2229792,28824,28824,59225994,59225989,99,t,f,2013-10-08 21:05:27,2013-10-08 21:32:46
2235497,28824,28824,59264331,59264327,100,t,f,2013-10-09 18:48:52,2013-10-15 13:48:21
2248440,5651949,28824,59576666,59576644,102,f,f,2013-10-11 16:32:24,2013-10-23 15:05:54
2256639,28824,28824,61568356,61568345,103,t,t,2013-10-13 20:37:13,2013-10-13 21:01:17
2266000,28824,28824,62903993,62903980,105,t,t,2013-10-15 12:31:37,2013-10-16 20:06:37
2272149,5836653,28824,63456238,63456235,106,f,t,2013-10-16 11:19:16,2013-10-18 19:22:03
2280529,28824,28824,64255651,64255643,107,t,t,2013-10-17 15:18:56,2013-10-18 18:34:22
2290918,5945774,28824,65779901,65779892,110,f,f,2013-10-19 13:27:03,2013-10-30 16:14:12
2300372,28824,28824,66166981,66148733,111,t,t,2013-10-21 16:35:57,2013-10-21 17:26:58
2301394,28824,28824,66190442,66176722,112,t,t,2013-10-21 19:06:16,2013-10-21 20:52:45
2304558,3731504,28824,66211321,66211305,113,f,f,2013-10-22 08:35:27,2013-11-26 13:13:48
2304621,5907035,28824,66211645,66211305,114,f,t,2013-10-22 08:45:21,2013-11-05 17:07:28
2325795,5907035,28824,66938586,66867985,115,f,t,2013-10-25 08:28:00,2013-10-31 23:31:57
2326635,5907035,28824,66948790,66867985,116,f,t,2013-10-25 11:12:44,2013-11-07 23:57:09
2333665,4175357,28824,67225181,67085971,117,f,f,2013-10-27 02:28:29,2013-11-12 19:26:32
2343017,6032280,28824,67531077,67518221,118,f,t,2013-10-28 20:15:17,2013-10-30 23:42:11
2348894,6057078,28824,67724690,67724684,119,f,t,2013-10-29 16:56:57,2013-11-05 20:08:33
2368579,5836653,28824,68318613,68318606,120,f,t,2013-11-01 14:11:09,2013-11-01 21:21:46
2386220,6032280,28824,68923108,68889506,121,f,f,2013-11-04 22:41:56,2013-11-25 23:05:30
2411309,6302848,28824,69662855,69614015,122,f,f,2013-11-08 09:12:18,2013-11-25 23:12:43
2415552,6257928,28824,69752493,69779061,123,f,f,2013-11-08 21:00:07,2014-01-21 22:40:01
2467204,5945774,28824,71507190,71200802,124,f,f,2013-11-17 20:56:02,2013-11-22 13:00:45
2472846,6057078,28824,71669540,71684092,125,f,t,2013-11-18 17:41:49,2013-11-19 16:38:18
2482420,5651949,28824,71970293,71932334,126,f,f,2013-11-19 22:24:41,2013-11-27 17:33:42
2504220,28824,28824,72636461,72457316,127,t,t,2013-11-22 20:40:52,2013-11-25 23:47:35
2524316,4175357,28824,73365285,73208738,128,f,f,2013-11-26 16:40:09,2013-11-26 18:00:52
2524802,3071226,28824,73380317,73376741,129,f,f,2013-11-26 17:57:18,2013-12-06 14:35:44
2530145,6646906,28824,73551842,73446635,130,f,t,2013-11-27 13:17:56,2013-12-19 19:22:57
2534240,6032280,28824,73588024,73588019,131,f,f,2013-11-28 01:11:51,2014-03-05 18:07:17
2540200,6311781,28824,73873240,73849743,132,f,f,2013-11-29 04:18:33,2014-03-05 17:50:10
2547475,6311781,28824,73988738,73988735,134,f,f,2013-12-02 20:31:27,2014-05-01 12:59:46
2556037,6646906,28824,74051547,74051544,135,f,t,2013-12-06 16:59:59,2013-12-11 20:18:09
2630130,6641409,28824,74698695,74698690,136,f,t,2013-12-13 04:07:30,2014-01-22 18:05:14
2656141,28824,28824,77585272,77405359,137,t,t,2013-12-17 16:32:55,2013-12-17 19:18:18
2658657,5945774,28824,77706084,77706082,138,f,f,2013-12-17 23:29:41,2013-12-19 17:29:00
2692061,5945774,28824,78993668,78985455,141,f,f,2013-12-23 20:35:37,2014-01-20 18:24:43
2722016,28824,28824,80161738,79752119,142,t,t,2013-12-30 16:38:45,2013-12-30 17:56:08
2788239,6275475,28824,82165466,82120724,146,f,t,2014-01-12 08:58:19,2014-01-17 23:04:26
2812281,5945774,28824,83119058,82927386,147,f,f,2014-01-15 20:16:00,2014-02-13 18:06:17
2813193,3071226,28824,83145372,82927386,148,f,f,2014-01-15 22:32:39,2014-02-26 23:33:35
2816775,7424564,28824,83254481,83158819,149,f,f,2014-01-16 12:24:06,2014-02-12 20:48:20
2826975,3071226,28824,83551822,83375163,150,f,f,2014-01-17 18:06:39,2014-03-24 23:11:50
2873010,5945774,28824,84979494,84870307,152,f,f,2014-01-24 13:22:58,2014-02-28 16:32:17
2874929,5945774,28824,85030799,84870307,153,f,f,2014-01-24 17:37:38,2014-02-21 22:22:17
2892715,5839941,28824,85647498,85647488,155,f,f,2014-01-28 14:24:38,2014-02-12 16:53:29
2909855,4175357,28824,86176882,86058998,156,f,f,2014-01-31 15:03:51,2014-02-27 16:51:37
2938832,28824,28824,86905754,86905745,157,t,t,2014-02-05 01:00:42,2014-02-05 17:32:18
3012239,5945774,28824,88715248,88715241,159,f,f,2014-02-11 12:47:35,2014-03-28 11:41:34
3015808,5945774,28824,88872575,88715241,160,f,f,2014-02-12 04:24:59,2014-03-06 18:31:43
3018494,6057078,28824,88891512,88891503,162,f,f,2014-02-12 18:42:49,2014-02-13 22:33:12
3023938,5907035,28824,88927296,88927292,163,f,f,2014-02-13 08:27:14,2014-03-07 00:49:03
3031702,7950904,28824,89011462,88927292,164,f,t,2014-02-13 17:29:45,2014-02-13 18:42:27
3055277,6057078,28824,89166046,89166044,166,f,f,2014-02-17 17:27:37,2014-03-07 18:43:58
3059359,8003162,28824,89193764,89166044,167,f,f,2014-02-18 08:31:01,2014-03-10 16:46:30
3090989,6815417,28824,90648012,90648005,168,f,f,2014-02-21 21:15:12,2014-03-10 21:11:28
3090992,6815417,28824,90648017,90648005,169,f,f,2014-02-21 21:15:15,2014-03-27 16:00:09
3101911,6815417,28824,91670413,91321538,170,f,f,2014-02-23 22:38:41,
3106941,6815417,28824,91828426,91321538,171,f,f,2014-02-24 15:19:25,2014-03-20 23:32:13
3220990,5945774,28824,94559361,94528378,176,f,f,2014-03-10 22:14:25,2014-03-24 23:11:30
3222508,6057078,28824,94784074,94784071,177,f,f,2014-03-11 04:09:50,2014-03-26 16:19:07
3292347,28824,28824,97450057,97256618,179,t,f,2014-03-19 16:45:33,2014-03-25 17:50:51
3303604,6032280,28824,97754489,97773434,180,f,f,2014-03-20 19:41:42,2014-06-04 18:30:07
3333654,6815417,28824,98762725,98750924,184,f,f,2014-03-25 00:26:46,2014-03-28 23:09:55
3336683,6815417,28824,98856779,98750924,185,f,f,2014-03-25 12:10:47,2014-04-04 13:42:59
3341262,6815417,28824,98976673,98947673,187,f,f,2014-03-25 19:57:31,2014-03-27 21:50:25
3346442,5945774,28824,99129665,99021548,188,f,f,2014-03-26 11:37:44,2014-04-01 16:41:53
3347346,6815417,28824,99154336,99021548,189,f,f,2014-03-26 13:27:01,2014-03-26 21:36:49
3365770,5945774,28824,99679836,99557598,190,f,f,2014-03-28 10:45:39,2014-03-31 18:45:34
3366658,6815417,28824,99704021,99557598,191,f,f,2014-03-28 12:55:14,2014-03-28 19:57:05
3381108,6057078,28824,99991687,99836624,192,f,f,2014-03-31 00:12:18,2014-06-05 10:50:14
3383900,3270732,28824,100004305,100004288,193,f,f,2014-03-31 21:49:23,2014-06-05 11:41:13
3384441,6032280,28824,100008192,100004294,195,f,f,2014-04-01 16:28:45,2014-06-05 00:19:14
3403496,6815417,28824,100130761,100130752,196,f,t,2014-04-01 22:07:29,2014-04-01 22:46:30
3421934,6815417,28824,100536415,100536411,200,f,f,2014-04-04 13:55:13,2014-04-07 21:18:04
3438626,5836653,28824,101769977,101286918,201,f,f,2014-04-07 11:39:21,
3439575,5836653,28824,101784619,101286918,202,f,f,2014-04-07 13:22:47,2014-04-14 15:23:19
3445694,5907035,28824,101826390,101916712,203,f,f,2014-04-08 06:04:36,2014-04-18 13:34:02
3477489,3270732,28824,102941972,102749433,205,f,f,2014-04-11 14:20:23,2014-04-29 22:04:41
3531399,5945774,28824,103858265,103858263,208,f,f,2014-04-15 12:56:06,2014-04-24 19:40:29
3518220,5836653,28824,103771914,103771911,210,f,f,2014-04-16 15:38:16,2014-07-03 14:34:54
3555710,5945774,28824,104028576,104028573,211,f,f,2014-04-16 23:54:17,2014-04-29 20:28:33
3533037,5945774,28824,103868590,103868584,214,f,f,2014-04-18 13:23:42,2014-04-29 20:28:33
3561562,5945774,28824,104093906,104093900,215,f,f,2014-04-24 22:46:33,2014-04-29 21:20:06
3603629,9346955,28824,106280492,106274075,217,f,f,2014-04-29 17:31:57,2014-06-06 20:18:24
3623580,5945774,28824,106400804,106324857,219,f,f,2014-05-01 22:49:37,2014-06-17 23:13:02
3611127,5945774,28824,106324864,106324857,220,f,f,2014-05-02 18:45:54,2014-07-01 15:32:45
3647098,28824,28824,109080422,109080420,221,t,t,2014-05-05 22:14:18,2014-05-08 19:45:41
3648366,5945774,28824,109323104,109323101,222,f,f,2014-05-06 02:43:42,2014-06-18 18:38:20
3659070,5945774,28824,110296279,109323101,223,f,f,2014-05-06 09:58:43,2014-08-13 22:40:17
3902959,6815417,28824,126214653,110248880,226,f,f,2014-05-06 21:35:26,2014-06-18 20:30:17
3652743,6815417,28824,109947827,109080421,227,f,f,2014-05-07 14:23:30,2014-06-09 15:19:52
3656618,3071226,28824,110205103,109080420,228,f,f,2014-05-07 19:47:55,2014-07-18 22:20:22
3657750,6815417,28824,110248882,110248880,229,f,f,2014-05-07 21:58:23,2014-06-09 15:19:52
3664842,6815417,28824,110480445,110248880,230,f,f,2014-05-08 14:11:59,
3847951,5945774,28824,112265608,110258282,231,f,f,2014-05-10 21:44:43,2014-06-06 22:29:44
3675172,9336587,28824,110819678,110819676,239,f,f,2014-05-14 20:37:31,2014-06-12 22:28:17
3682725,6815417,28824,111050016,111050011,241,f,f,2014-05-15 19:11:19,2014-05-22 16:07:14
3731034,6815417,28824,113119315,113119293,242,f,f,2014-05-15 23:14:44,2014-05-28 16:06:18
3703746,3270732,28824,112221189,112221185,247,f,f,2014-05-19 21:38:38,2014-06-04 15:56:23
3766467,9839500,28824,114555525,114555432,250,f,f,2014-05-27 14:19:42,2014-05-30 07:13:53
3775532,28824,28824,115098092,115098090,252,t,f,2014-05-28 16:34:00,
3783718,9839500,28824,115750598,115750592,253,f,f,2014-05-30 07:13:04,2014-06-30 20:59:00
3788248,6057078,28824,115943427,115943425,254,f,f,2014-05-30 16:59:33,2014-06-18 22:16:59
3808041,28824,28824,118558761,118558744,256,t,f,2014-06-02 16:40:15,2014-06-02 22:37:22
3817145,5836653,28824,119293617,119293614,257,f,f,2014-06-03 15:46:06,2014-06-18 23:00:12
3865696,10176606,28824,124045720,124045506,259,f,f,2014-06-09 23:15:36,2014-07-21 14:39:01
3938920,8003162,28824,127843599,127843511,262,f,f,2014-06-18 16:33:55,2014-07-18 15:34:32
3944159,8003162,28824,128236363,128236351,263,f,f,2014-06-19 07:01:57,2014-06-19 07:03:33
3944188,8003162,28824,128236363,128236351,264,f,f,2014-06-19 07:06:42,2014-06-20 12:18:14
4010273,6641409,28824,131458252,131336843,267,f,f,2014-06-27 06:24:43,2014-08-15 12:51:26
4043751,10479738,28824,132795973,132795967,269,f,f,2014-07-01 21:19:29,2014-07-10 19:30:08
4049957,10576879,28824,132992414,132992377,270,f,f,2014-07-02 22:01:55,2014-07-15 20:04:54
4116765,4175357,28824,135431220,135431217,271,f,f,2014-07-09 14:36:03,2014-08-06 19:42:10
4190066,10604641,28824,138718170,138977252,272,f,f,2014-07-18 06:24:20,2014-08-07 05:44:13
4192771,10897793,28824,139211530,138977252,273,f,f,2014-07-18 12:26:43,2014-07-21 18:46:34
4224264,10890139,28824,140647543,140581259,274,f,f,2014-07-22 18:22:41,2014-07-24 12:02:25
4357625,10604641,28824,146232021,146232018,276,f,f,2014-08-07 05:46:11,2014-08-07 18:35:15
4424504,11398142,28824,149982004,149981741,280,f,f,2014-08-14 21:04:46,2014-08-18 20:43:57
4460735,11398142,28824,151990070,151952269,284,f,f,2014-08-19 15:08:54,2014-08-20 21:59:57
4483790,11531816,28824,152906782,152886460,285,f,f,2014-08-21 17:58:16,2014-08-21 21:13:28
4527152,11398142,28824,154941097,154941094,286,f,f,2014-08-25 12:57:22,2014-08-27 17:14:53
4508886,11398142,28824,154351288,154351235,287,f,f,2014-08-26 11:17:02,2014-08-27 17:15:15
4649792,6641409,28824,157018478,157018472,292,f,f,2014-09-10 06:23:12,2014-12-08 17:29:07
4568349,11398142,28824,155928105,155928047,294,f,t,2014-09-12 16:38:11,2014-09-12 18:52:18
4734853,11801219,28824,158086925,158086695,296,f,f,2014-09-18 09:44:34,2014-11-04 17:44:07
4760040,10604641,28824,158471752,158086852,298,f,f,2014-09-23 06:34:49,2014-09-26 16:00:38
4840944,12179974,28824,161786746,161786482,300,f,f,2014-10-01 22:08:52,2014-11-13 22:28:14
4894082,12386333,28824,166384273,166384036,303,f,f,2014-10-07 20:28:32,2014-10-09 13:58:57
5815247,14969595,28824,204574349,166384152,305,f,f,2014-10-10 00:05:04,2014-10-10 06:03:43
4955625,10890139,28824,172687113,171257868,306,f,f,2014-10-13 08:10:44,2014-10-17 06:44:15
5272959,10890139,28824,184222969,184624398,312,f,f,2014-11-17 08:11:11,2014-11-17 22:34:40
5363906,10176606,28824,185232637,185232635,315,f,f,2014-11-25 00:25:11,2014-12-19 17:51:01
5384325,3270732,28824,185380760,185380744,316,f,f,2014-11-26 18:22:20,2014-12-02 22:02:50
5636560,10890139,28824,198034849,197996642,322,f,f,2014-12-22 11:10:22,2015-02-05 00:13:26
5684190,13409349,28824,200811474,200262063,323,f,f,2014-12-29 13:15:20,2015-02-10 21:39:47
6055796,15672543,28824,211696517,166384152,328,f,f,2015-01-28 20:46:00,2015-05-29 16:16:58
6199727,10890139,28824,215751069,215103902,330,f,f,2015-02-09 09:26:17,2016-03-23 16:02:10
6272537,16311348,28824,217746004,166384152,331,f,f,2015-02-13 20:58:50,2015-02-18 01:02:31
6310505,16426408,28824,218897439,217755701,332,f,f,2015-02-17 11:53:38,2015-02-25 05:13:51
6313871,6032280,28824,218978046,217755701,333,f,f,2015-02-17 15:43:28,2015-02-19 21:29:43
6421049,16774094,28824,222860719,222672144,334,f,f,2015-02-25 11:26:52,2015-02-27 16:59:03
6488507,16960392,28824,224913228,224089153,335,f,f,2015-03-02 11:05:21,2016-04-11 21:04:32
6601476,16878317,28824,227970004,228316165,336,f,f,2015-03-10 05:37:13,
6749248,6641409,28824,234132589,233988626,339,f,f,2015-03-20 10:22:37,2015-03-27 16:13:02
6780205,16878317,28824,235059166,234397669,341,f,f,2015-03-23 04:56:01,2016-04-11 21:09:28
6828886,10176606,28824,236350170,236334490,347,f,f,2015-03-25 22:56:54,2015-03-27 15:51:45
6847180,17994601,28824,236580964,236364790,348,f,f,2015-03-26 14:55:43,2015-03-31 06:11:49
6889520,6641409,28824,238240219,238240214,349,f,f,2015-03-31 03:02:14,2015-04-02 15:04:16
6891128,17994601,28824,238448527,238240214,350,f,f,2015-03-31 06:17:24,2015-04-01 11:20:32
6926789,6641409,28824,239135369,239135360,351,f,f,2015-04-02 05:34:12,2015-04-03 19:52:37
6966683,5945774,28824,240930133,240461650,352,f,f,2015-04-05 16:26:30,2015-04-06 18:43:08
6971406,17994601,28824,240959442,240461650,353,f,f,2015-04-06 05:11:14,2015-04-10 15:18:17
7002078,6641409,28824,241913127,241855512,354,f,f,2015-04-08 01:15:51,2015-04-09 21:11:14
7005401,10890139,28824,242020681,241855512,355,f,f,2015-04-08 07:07:36,2016-03-23 23:41:03
7021040,6641409,28824,242409111,242361692,356,f,f,2015-04-09 01:09:33,2015-04-09 21:26:57
7022990,6641409,28824,242489004,242361692,357,f,f,2015-04-09 05:11:22,2015-04-10 14:57:08
7072906,6641409,28824,244035770,243367781,358,f,f,2015-04-13 00:51:22,2015-04-14 14:30:57
7073266,6641409,28824,244049256,243367781,359,f,f,2015-04-13 01:49:44,2015-04-14 14:40:25
7073927,6032280,28824,244072249,244072246,360,f,f,2015-04-13 03:51:03,2015-04-13 15:27:13
7098424,5945774,28824,244720037,244453431,361,f,f,2015-04-14 13:50:07,2016-02-08 21:43:23
7126241,6641409,28824,245468035,245381590,362,f,f,2015-04-16 04:30:52,2015-04-17 14:51:13
7126711,6641409,28824,245481837,245381590,364,f,f,2015-04-16 05:24:54,2015-04-16 14:24:14
7131443,18867026,28824,245603648,245514460,365,f,f,2015-04-16 11:53:02,2015-05-14 17:26:16
7177789,6641409,28824,246972489,246153923,366,f,f,2015-04-20 00:44:09,2015-04-21 16:19:43
7177924,6641409,28824,246976375,246153923,367,f,f,2015-04-20 01:02:44,2015-04-21 16:39:07
7221533,19129714,28824,248167003,247866675,368,f,f,2015-04-22 13:18:45,2015-06-11 05:03:53
7231690,6641409,28824,248438809,248357726,369,f,f,2015-04-23 01:52:33,2015-04-30 17:22:26
7234482,6641409,28824,248523463,248357726,370,f,f,2015-04-23 07:08:55,2015-04-28 00:46:56
7301433,6641409,28824,250452263,250402329,372,f,f,2015-04-28 01:07:24,2015-04-29 15:36:01
7302912,5945774,28824,250496640,250402329,373,f,f,2015-04-28 04:15:42,2015-04-30 15:09:20
7336533,6641409,28824,251484467,251434513,374,f,f,2015-04-30 00:09:13,2015-05-08 14:38:09
7337065,6641409,28824,251501000,251434513,375,f,f,2015-04-30 01:16:58,2015-05-08 14:38:09
7401317,6641409,28824,253409456,253327385,376,f,f,2015-05-05 04:13:25,2015-05-11 20:51:51
7457828,17994601,28824,254854545,254736410,377,f,f,2015-05-08 09:26:36,2015-05-10 15:41:32
7458502,10890139,28824,254862810,254736410,378,f,f,2015-05-08 10:19:36,2015-05-19 22:17:04
7607328,19129714,28824,260054257,259672178,381,f,f,2015-05-19 11:49:07,2015-05-26 14:01:31
7658180,10890139,28824,260896757,260778205,383,f,f,2015-05-22 06:43:37,2015-06-05 14:46:30
7859649,17994601,28824,267201059,267032368,388,f,f,2015-06-05 09:17:03,2015-06-09 13:22:56
7912083,19129714,28824,268604640,268462709,389,f,f,2015-06-09 13:22:16,2015-06-15 06:15:09
7941406,21146746,28824,269547462,269461717,391,f,f,2015-06-11 06:09:51,2015-06-16 15:34:56
7962286,21166918,28824,270033586,269871788,394,f,f,2015-06-12 09:48:16,2015-06-12 19:13:00
7995256,19129714,28824,270937140,270929718,395,f,f,2015-06-15 06:14:24,2015-06-18 09:43:26
8002196,21166918,28824,271103644,270929718,396,f,f,2015-06-15 14:29:13,2015-06-16 09:37:34
8048844,6641409,28824,272314683,272274954,397,f,f,2015-06-18 06:26:16,2015-06-22 18:57:26
8067643,6641409,28824,272525322,272525313,398,f,f,2015-06-19 05:03:36,2015-06-22 21:10:24
8149437,21146746,28824,274063949,274063945,399,f,f,2015-06-25 07:46:52,2015-06-29 15:55:21
8473759,,28824,,280337687,401,f,f,2015-07-06 13:51:22,2015-07-15 20:53:04
8433447,22169269,28824,280078112,280078112,402,f,f,2015-07-13 10:42:39,2015-07-17 06:50:16
8536999,28824,28824,282007099,282591306,404,t,f,2015-07-20 19:01:55,2015-07-27 16:23:52
8758749,6815417,28824,279061948,279061947,408,f,t,2015-07-31 00:11:45,2015-08-04 17:23:11
8278301,28824,28824,278758759,278758757,409,t,f,2015-08-05 12:12:34,2015-09-01 21:46:47
8786463,5945774,28824,293778851,293778836,411,f,t,2015-08-07 10:12:34,2015-08-07 19:07:00
