id,head_repo_id,base_repo_id,head_commit_id,base_commit_id,pullreq_id,intra_branch,merged,opened_at,closed_at
11827132,31343224,31343224,378539556,378536139,47,t,t,2016-01-25 15:52:27,2016-01-25 17:58:11
11829707,31343224,31343224,378536139,378536143,48,t,t,2016-01-25 17:19:06,2016-01-25 17:27:39
11826633,31343224,31343224,378536148,378536139,49,t,f,2016-01-25 17:54:40,2016-01-25 19:16:47
11859368,31343224,31343224,379300071,378885164,52,t,f,2016-01-26 19:52:35,2016-01-26 20:26:11
11887960,31343224,31343224,380003035,379859437,54,t,f,2016-01-27 19:37:52,2016-01-27 20:26:25
11906379,31343224,31343224,380390873,380028099,56,t,f,2016-01-28 15:22:56,2016-01-28 16:16:28
11997705,31343224,31343224,382595983,382560813,58,t,f,2016-02-01 18:30:56,2016-02-03 15:09:25
12032708,31343224,31343224,383322683,382560813,59,t,f,2016-02-02 23:05:57,2016-02-03 15:28:45
12054252,31343224,31343224,383798310,383681947,61,t,f,2016-02-03 19:01:54,2016-02-04 15:39:34
12054976,31343224,31343224,383814611,383681947,62,t,f,2016-02-03 19:30:53,
12077432,31343224,31343224,384206002,384206001,63,t,f,2016-02-04 16:02:44,
12103181,31343224,31343224,384855621,384855615,66,t,f,2016-02-05 17:36:08,2016-02-05 17:44:16
12186677,31343224,31343224,386986824,386288843,68,t,f,2016-02-09 20:11:57,2016-02-09 20:29:55
12379542,31343224,31343224,391294838,391294836,72,t,f,2016-02-17 17:20:25,2016-02-17 20:36:32
12528277,31343224,31343224,394682657,391411618,77,t,f,2016-02-23 15:34:38,2016-02-23 18:46:08
12536204,31343224,31343224,394744240,394744233,79,t,f,2016-02-23 20:29:22,2016-02-23 20:35:53
12564368,31343224,31343224,395432919,395432915,80,t,f,2016-02-24 19:44:13,2016-02-29 20:03:08
12620403,31343224,31343224,396790871,395432915,83,t,f,2016-02-26 19:21:36,2016-02-26 19:30:59
12678629,31343224,31343224,398411742,398352271,86,t,f,2016-02-29 20:02:42,2016-03-01 19:34:33
12741084,31343224,31343224,399853453,399853452,88,t,f,2016-03-02 21:12:42,2016-03-16 20:27:32
12743473,31343224,31343224,399894535,399853452,89,t,f,2016-03-02 22:36:49,2016-03-10 14:52:11
12859050,31343224,31343224,402571350,399853452,92,t,f,2016-03-07 17:30:53,2016-03-07 17:56:19
12863818,31343224,31343224,402678674,402593670,94,t,f,2016-03-07 20:42:28,2016-03-07 20:50:01
12893572,31343224,31343224,403323534,402683035,95,t,f,2016-03-08 20:39:16,2016-03-08 21:35:08
12952239,31343224,31343224,404561025,404454109,97,t,f,2016-03-10 18:00:44,2016-03-11 16:10:40
12953537,31343224,31343224,404587524,404454109,99,t,f,2016-03-10 18:53:08,2016-03-15 16:19:11
12976971,31343224,31343224,405113713,404454109,100,t,f,2016-03-11 15:15:01,2016-03-18 13:16:57
13044041,31343224,31343224,406729266,405144264,102,t,f,2016-03-14 20:01:09,2016-03-18 13:17:22
13073451,31343224,31343224,407336177,407275407,104,t,f,2016-03-15 20:06:56,2016-03-17 15:23:09
13074908,31343224,31343224,407350930,407275407,105,t,f,2016-03-15 21:01:01,2016-03-16 14:22:16
13123484,31343224,31343224,408557211,408102804,107,t,f,2016-03-17 14:47:06,2016-03-17 16:23:50
13134469,31343224,31343224,408740718,408658911,108,t,f,2016-03-17 21:32:39,2016-03-18 19:37:59
13149064,31343224,31343224,409182611,408658911,109,t,f,2016-03-18 12:51:56,2016-03-18 15:43:48
13158785,31343224,31343224,409387212,409275734,110,t,f,2016-03-18 19:09:16,2016-03-18 19:21:25
13209831,31343224,31343224,410772718,409400325,111,t,f,2016-03-21 14:46:04,2016-03-23 16:38:53
13217935,31343224,31343224,410871871,409400325,113,t,f,2016-03-21 19:46:04,2016-03-21 19:57:04
13249304,31343224,31343224,411516647,410969456,115,t,f,2016-03-22 20:05:55,2016-03-23 13:06:15
13249482,31343224,31343224,411518798,410969456,116,t,f,2016-03-22 20:12:47,2016-03-28 14:51:53
13269278,31343224,31343224,412041643,412041223,117,t,f,2016-03-23 13:07:53,2016-03-23 13:49:40
13308890,31343224,31343224,412821648,412164671,118,t,f,2016-03-24 17:44:52,2016-03-25 16:53:05
13330851,31343224,31343224,413321721,412821648,120,t,f,2016-03-25 14:14:46,2016-03-28 13:40:10
13331424,31343224,31343224,413334373,412164671,121,t,f,2016-03-25 14:39:21,2016-03-28 14:31:05
13334135,31343224,31343224,413390187,412164671,122,t,f,2016-03-25 16:30:22,2016-03-25 16:53:05
13339080,31343224,31343224,413482175,413400908,123,t,f,2016-03-25 19:50:27,2016-03-31 12:43:12
13389972,31343224,31343224,414709108,414705460,124,t,f,2016-03-28 13:52:01,2016-03-28 14:31:53
13465703,31343224,31343224,416524971,416247034,126,t,f,2016-03-30 21:14:50,2016-04-01 17:59:43
13494616,31343224,31343224,417084482,416247034,127,t,f,2016-03-31 18:02:30,2016-03-31 18:13:25
13497941,31343224,31343224,417143282,417090240,128,t,f,2016-03-31 19:58:50,2016-04-01 14:03:44
13527339,31343224,31343224,417722514,417713869,129,t,f,2016-04-01 18:15:51,2016-04-01 18:21:42
13588749,31343224,31343224,419106431,417724820,130,t,f,2016-04-04 14:42:31,2016-04-04 16:07:24
13629191,31343224,31343224,419876124,419156799,131,t,f,2016-04-05 18:20:24,2016-04-05 18:28:35
13684253,31343224,31343224,420844306,419883353,134,t,t,2016-04-07 16:37:39,2016-04-07 16:44:31
13678310,31343224,31343224,420805390,420805388,135,t,t,2016-04-07 18:18:04,2016-04-07 19:37:16
13720783,31343224,31343224,421763422,421376139,137,t,t,2016-04-08 20:13:05,2016-04-08 21:02:35
13722604,31343224,31343224,421780504,421780501,138,t,f,2016-04-08 21:29:59,2016-04-11 21:16:18
13801916,31343224,31343224,424221044,424007135,139,t,t,2016-04-12 13:26:17,2016-04-12 14:11:47
13847473,31343224,31343224,425096356,425096355,140,t,f,2016-04-13 20:51:29,2016-04-14 13:27:48
13866882,31343224,31343224,425892964,425892955,143,t,f,2016-04-14 14:52:20,2016-04-18 16:32:08
13891813,31343224,31343224,426317372,426317362,144,t,t,2016-04-15 18:56:01,2016-04-15 19:06:35
13892758,31343224,31343224,426335527,426335521,145,t,t,2016-04-15 19:31:48,2016-04-15 20:14:01
13894795,31343224,31343224,426379932,426379928,147,t,f,2016-04-15 20:45:57,2016-04-18 16:32:29
14041974,31343224,31343224,430552637,429273549,149,t,f,2016-04-20 16:56:22,2016-04-26 15:10:35
14048755,31343224,31343224,430676373,429273549,150,t,f,2016-04-20 20:40:03,2016-04-20 20:46:16
14075773,31343224,31343224,431184059,430676373,151,t,f,2016-04-21 15:31:25,2016-04-21 16:46:26
14083390,31343224,31343224,431319683,431226475,154,t,t,2016-04-21 19:44:11,2017-05-22 18:27:07
14121478,31343224,31343224,432043107,431879355,157,t,f,2016-04-22 21:45:49,2016-04-26 16:33:45
14223743,31343224,31343224,434265788,434238851,158,t,f,2016-04-26 17:33:47,2016-04-26 18:12:46
14258589,31343224,31343224,434948661,434347460,160,t,f,2016-04-27 16:51:53,2016-04-28 16:41:56
14288638,31343224,31343224,435555997,434347460,161,t,f,2016-04-28 13:57:10,2016-04-28 17:31:30
14294912,31343224,31343224,435672739,435659073,163,t,f,2016-04-28 17:07:01,2016-04-28 19:16:11
14326542,31343224,31343224,436307429,436266965,164,t,f,2016-04-29 15:58:16,2016-04-29 16:12:06
14327163,31343224,31343224,436319147,436315268,165,t,f,2016-04-29 16:18:57,2016-04-29 16:25:09
14331642,31343224,31343224,436398272,436322734,166,t,f,2016-04-29 18:47:44,2016-05-02 19:53:44
14394372,31343224,31343224,437919478,436322734,167,t,f,2016-05-02 17:07:51,2016-05-03 13:29:16
14435709,31343224,31343224,438685775,438603346,168,t,f,2016-05-03 19:58:24,2016-05-03 20:36:43
